2020-01-21 00:53:25 status unpacked debianutils:armhf 4.8.1.1
2020-01-21 00:53:25 install diffutils:armhf <none> 1:3.5-3
2020-01-21 00:53:25 status half-installed diffutils:armhf 1:3.5-3
2020-01-21 00:53:25 status unpacked diffutils:armhf 1:3.5-3
2020-01-21 00:53:25 status unpacked diffutils:armhf 1:3.5-3
2020-01-21 00:53:25 upgrade dpkg:armhf 1.18.25 1.18.25
2020-01-21 00:53:25 status half-configured dpkg:armhf 1.18.25
2020-01-21 00:53:26 status unpacked dpkg:armhf 1.18.25
2020-01-21 00:53:26 status half-installed dpkg:armhf 1.18.25
2020-01-21 00:53:26 status half-installed dpkg:armhf 1.18.25
2020-01-21 00:53:27 status unpacked dpkg:armhf 1.18.25
2020-01-21 00:53:27 status unpacked dpkg:armhf 1.18.25
2020-01-21 00:53:27 install e2fslibs:armhf <none> 1.43.4-2
2020-01-21 00:53:27 status half-installed e2fslibs:armhf 1.43.4-2
2020-01-21 00:53:28 status unpacked e2fslibs:armhf 1.43.4-2
2020-01-21 00:53:28 status unpacked e2fslibs:armhf 1.43.4-2
2020-01-21 00:53:29 install e2fsprogs:armhf <none> 1.43.4-2
2020-01-21 00:53:29 status half-installed e2fsprogs:armhf 1.43.4-2
2020-01-21 00:53:29 status unpacked e2fsprogs:armhf 1.43.4-2
2020-01-21 00:53:29 status unpacked e2fsprogs:armhf 1.43.4-2
2020-01-21 00:53:30 install libcomerr2:armhf <none> 1.43.4-2
2020-01-21 00:53:30 status half-installed libcomerr2:armhf 1.43.4-2
2020-01-21 00:53:30 status unpacked libcomerr2:armhf 1.43.4-2
2020-01-21 00:53:30 status unpacked libcomerr2:armhf 1.43.4-2
2020-01-21 00:53:30 install libss2:armhf <none> 1.43.4-2
2020-01-21 00:53:30 status half-installed libss2:armhf 1.43.4-2
2020-01-21 00:53:30 status unpacked libss2:armhf 1.43.4-2
2020-01-21 00:53:31 status unpacked libss2:armhf 1.43.4-2
2020-01-21 00:53:31 install findutils:armhf <none> 4.6.0+git+20161106-2
2020-01-21 00:53:31 status half-installed findutils:armhf 4.6.0+git+20161106-2
2020-01-21 00:53:32 status unpacked findutils:armhf 4.6.0+git+20161106-2
2020-01-21 00:53:32 status unpacked findutils:armhf 4.6.0+git+20161106-2
2020-01-21 00:53:32 install gcc-6-base:armhf <none> 6.3.0-18+deb9u1
2020-01-21 00:53:32 status half-installed gcc-6-base:armhf 6.3.0-18+deb9u1
2020-01-21 00:53:33 status unpacked gcc-6-base:armhf 6.3.0-18+deb9u1
2020-01-21 00:53:33 status unpacked gcc-6-base:armhf 6.3.0-18+deb9u1
2020-01-21 00:53:33 install libgcc1:armhf <none> 1:6.3.0-18+deb9u1
2020-01-21 00:53:33 status half-installed libgcc1:armhf 1:6.3.0-18+deb9u1
2020-01-21 00:53:34 status unpacked libgcc1:armhf 1:6.3.0-18+deb9u1
2020-01-21 00:53:34 status unpacked libgcc1:armhf 1:6.3.0-18+deb9u1
2020-01-21 00:53:34 install libc-bin:armhf <none> 2.24-11+deb9u4
2020-01-21 00:53:34 status half-installed libc-bin:armhf 2.24-11+deb9u4
2020-01-21 00:53:35 status unpacked libc-bin:armhf 2.24-11+deb9u4
2020-01-21 00:53:35 status unpacked libc-bin:armhf 2.24-11+deb9u4
2020-01-21 00:53:37 upgrade libc6:armhf 2.24-11+deb9u4 2.24-11+deb9u4
2020-01-21 00:53:37 status half-configured libc6:armhf 2.24-11+deb9u4
2020-01-21 00:53:37 status unpacked libc6:armhf 2.24-11+deb9u4
2020-01-21 00:53:37 status half-installed libc6:armhf 2.24-11+deb9u4
2020-01-21 00:53:39 status half-installed libc6:armhf 2.24-11+deb9u4
2020-01-21 00:53:40 status unpacked libc6:armhf 2.24-11+deb9u4
2020-01-21 00:53:40 status unpacked libc6:armhf 2.24-11+deb9u4
2020-01-21 00:53:40 install multiarch-support:armhf <none> 2.24-11+deb9u4
2020-01-21 00:53:40 status half-installed multiarch-support:armhf 2.24-11+deb9u4
2020-01-21 00:53:40 status unpacked multiarch-support:armhf 2.24-11+deb9u4
2020-01-21 00:53:40 status unpacked multiarch-support:armhf 2.24-11+deb9u4
2020-01-21 00:53:41 install grep:armhf <none> 2.27-2
2020-01-21 00:53:41 status half-installed grep:armhf 2.27-2
2020-01-21 00:53:41 status unpacked grep:armhf 2.27-2
2020-01-21 00:53:41 status unpacked grep:armhf 2.27-2
2020-01-21 00:53:42 install gzip:armhf <none> 1.6-5+b1
2020-01-21 00:53:42 status half-installed gzip:armhf 1.6-5+b1
2020-01-21 00:53:42 status unpacked gzip:armhf 1.6-5+b1
2020-01-21 00:53:42 status unpacked gzip:armhf 1.6-5+b1
2020-01-21 00:53:43 install hostname:armhf <none> 3.18+b1
2020-01-21 00:53:43 status half-installed hostname:armhf 3.18+b1
2020-01-21 00:53:43 status unpacked hostname:armhf 3.18+b1
